test_idx,test_class,most_helpful_train_idx,most_helpful_train_class,max_positive_influence,most_harmful_train_idx,most_harmful_train_class,max_negative_influence,avg_influence
0,butterfly,152,butterfly,0.005832390859723091,61,butterfly,0.0002821327652782202,0.0007122731767594814
1,butterfly,152,butterfly,0.0039033640641719103,61,butterfly,0.0003466189664322883,0.0007547243731096387
2,butterfly,152,butterfly,0.002842473331838846,61,butterfly,0.00029686454217880964,0.0006657380145043135
3,butterfly,332,butterfly,0.001701347646303475,152,butterfly,-0.0033145167399197817,0.0005081604467704892
4,butterfly,152,butterfly,0.05243721976876259,332,butterfly,-0.004489442799240351,0.001067608711309731
5,butterfly,363,butterfly,0.0021431322675198317,362,butterfly,0.0002485566947143525,0.000713385350536555
6,butterfly,363,butterfly,0.0028432125691324472,152,butterfly,-0.0002269426331622526,0.0005823752726428211
7,butterfly,152,butterfly,0.0039033640641719103,61,butterfly,0.0003466189664322883,0.0007547243731096387
8,butterfly,363,butterfly,0.0036713972222059965,74,butterfly,0.0002158106944989413,0.0005781974759884179
9,butterfly,380,butterfly,0.0011773186270147562,61,butterfly,0.0003058312286157161,0.0005926088197156787
10,butterfly,152,butterfly,0.013667747378349304,298,butterfly,0.0003998511820100248,0.000736848684027791
11,butterfly,332,butterfly,0.0015210889978334308,152,butterfly,-0.005067659076303244,0.0005791817675344646
12,butterfly,152,butterfly,0.012650875374674797,61,butterfly,0.0003604876983445138,0.0008423820836469531
13,butterfly,152,butterfly,0.005856410600244999,74,butterfly,0.0002878215746022761,0.000690398970618844
14,butterfly,152,butterfly,0.005611720494925976,74,butterfly,0.00030473695369437337,0.0007042415090836585
15,butterfly,152,butterfly,0.0038186460733413696,61,butterfly,0.0003512984258122742,0.0007194260833784938
16,butterfly,152,butterfly,0.003907762002199888,61,butterfly,0.0003250413865316659,0.0007814266718924046
17,butterfly,318,butterfly,0.0025671194307506084,152,butterfly,-0.0014796627219766378,0.0005921079427935183
18,butterfly,152,butterfly,0.009299175813794136,222,butterfly,5.7655666751088575e-05,0.0007364118355326355
19,butterfly,152,butterfly,0.0041970741003751755,362,butterfly,0.0002895111101679504,0.0006224821554496884
20,butterfly,152,butterfly,0.003857978619635105,250,butterfly,0.00029665432521142066,0.0006295596249401569
21,butterfly,318,butterfly,0.0017340219346806407,362,butterfly,0.00027194491121917963,0.0005877089570276439
22,butterfly,152,butterfly,0.007344277575612068,332,butterfly,0.0001353255211142823,0.0006385817541740835
23,butterfly,152,butterfly,0.6685965061187744,420,butterfly,-0.010699069127440453,0.007503947243094444
24,butterfly,152,butterfly,0.00593849690631032,61,butterfly,0.00035507744178175926,0.0007248884066939354
25,butterfly,152,butterfly,0.001494450494647026,363,butterfly,0.00012426705507095903,0.0005942759453319013
26,butterfly,152,butterfly,0.003138657659292221,362,butterfly,0.0001961580419447273,0.00041517813224345446
27,butterfly,152,butterfly,0.016683997586369514,238,butterfly,9.532286640023813e-05,0.0007630515610799193
28,butterfly,152,butterfly,0.0020114132203161716,61,butterfly,0.0003113424754701555,0.0006085758213885128
29,butterfly,152,butterfly,0.08031568676233292,298,butterfly,-0.0008152715745382011,0.0012664810055866838
30,butterfly,152,butterfly,0.0043646302074193954,74,butterfly,0.00028615162591449916,0.0007032126886770129
31,butterfly,318,butterfly,0.0015826014569029212,362,butterfly,0.0002332978619961068,0.0005720745539292693
32,butterfly,152,butterfly,0.0037154676392674446,250,butterfly,0.00031978721381165087,0.0006631726864725351
33,butterfly,152,butterfly,0.0019988708663731813,61,butterfly,0.0002717358584050089,0.0005555698298849165
34,butterfly,152,butterfly,0.011517077684402466,250,butterfly,0.0003166082315146923,0.0007821661420166492
35,butterfly,152,butterfly,0.00917976163327694,250,butterfly,0.00034359778510406613,0.0007072121952660382
36,butterfly,152,butterfly,0.00545479916036129,362,butterfly,0.00028678507078438997,0.0006427347543649375
37,butterfly,238,butterfly,0.002171488478779793,399,butterfly,-3.730201569851488e-06,0.0007426206138916314
38,butterfly,152,butterfly,0.010852261446416378,362,butterfly,0.00030746101401746273,0.0008005276322364807
39,butterfly,152,butterfly,0.004538893233984709,362,butterfly,0.0003474796249065548,0.0006984379142522812
40,butterfly,149,butterfly,0.0015136798610910773,152,butterfly,-0.0037481558974832296,0.000529531214851886
41,butterfly,152,butterfly,0.005833965726196766,332,butterfly,0.0003026984049938619,0.0006292429752647877
42,butterfly,363,butterfly,0.002732097404077649,362,butterfly,0.00024152788682840765,0.0005411605816334486
43,butterfly,363,butterfly,0.0020846982952207327,362,butterfly,0.00023788279213476926,0.0006818049005232751
44,butterfly,363,butterfly,0.002490740967914462,61,butterfly,0.0002829471486620605,0.0005822974490001798
45,butterfly,152,butterfly,0.002655008574947715,362,butterfly,0.0001979942317120731,0.0005324369412846863
46,butterfly,152,butterfly,0.010763831436634064,399,butterfly,0.0002526190655771643,0.0008206060156226158
47,butterfly,152,butterfly,0.002628129441291094,362,butterfly,0.00022220899700187147,0.0006687695276923478
48,butterfly,152,butterfly,0.012162037193775177,61,butterfly,0.0004127377469558269,0.0008950398187153041
49,butterfly,363,butterfly,0.0011809448478743434,152,butterfly,-0.0019464221550151706,0.0004929748829454184
