test_idx,test_true,test_pred,train_idx,train_true,train_pred,influence,rank,same_error
16,butterfly,spider,1257,butterfly,spider,0.0023391246795654297,1,True
16,butterfly,spider,1257,butterfly,spider,0.0021442852448672056,2,True
16,butterfly,spider,1257,butterfly,spider,0.0018939555156975985,3,True
16,butterfly,spider,1257,butterfly,spider,0.0017538402462378144,5,True
16,butterfly,spider,1257,butterfly,spider,0.00159876374527812,6,True
16,butterfly,spider,1257,butterfly,spider,0.001324573066085577,9,True
16,butterfly,spider,1257,butterfly,spider,0.0012420420534908772,10,True
16,butterfly,spider,1257,butterfly,spider,0.0009066503844223917,12,True
16,butterfly,spider,4232,chicken,spider,0.0006135475123301148,23,True
16,butterfly,spider,4232,chicken,spider,0.000496861117426306,33,True
16,butterfly,spider,4232,chicken,spider,0.00045827392023056746,38,True
16,butterfly,spider,4232,chicken,spider,0.00041398851317353547,51,True
16,butterfly,spider,4232,chicken,spider,0.0004098911886103451,52,True
16,butterfly,spider,4232,chicken,spider,0.0003494468692224473,80,True
16,butterfly,spider,4232,chicken,spider,0.0003461576416157186,81,True
169,butterfly,spider,1257,butterfly,spider,0.0016514839371666312,1,True
169,butterfly,spider,1257,butterfly,spider,0.0014554363442584872,2,True
169,butterfly,spider,1257,butterfly,spider,0.001353826024569571,3,True
169,butterfly,spider,1257,butterfly,spider,0.0012996491277590394,5,True
169,butterfly,spider,1257,butterfly,spider,0.0012415401870384812,6,True
169,butterfly,spider,1257,butterfly,spider,0.001128772390075028,7,True
169,butterfly,spider,1257,butterfly,spider,0.0009738902444951236,10,True
169,butterfly,spider,1257,butterfly,spider,0.0009644769597798586,11,True
169,butterfly,spider,4232,chicken,spider,0.00030140686430968344,65,True
316,butterfly,cat,1257,butterfly,spider,0.0009588183602318168,1,False
316,butterfly,cat,1257,butterfly,spider,0.0009148523095063865,2,False
316,butterfly,cat,1257,butterfly,spider,0.0009052095701918006,3,False
316,butterfly,cat,1257,butterfly,spider,0.0008718060562387109,4,False
316,butterfly,cat,20230,squirrel,cat,0.0008146840264089406,8,True
316,butterfly,cat,1257,butterfly,spider,0.0008060179534368217,9,False
316,butterfly,cat,1257,butterfly,spider,0.000797718414105475,10,False
316,butterfly,cat,20230,squirrel,cat,0.0007859354955144227,11,True
316,butterfly,cat,20230,squirrel,cat,0.0007855916046537459,12,True
316,butterfly,cat,1257,butterfly,spider,0.0007778748404234648,13,False
316,butterfly,cat,20230,squirrel,cat,0.0007569583249278367,16,True
316,butterfly,cat,1257,butterfly,spider,0.0007315425900742412,18,False
316,butterfly,cat,20230,squirrel,cat,0.0007059764466248453,23,True
316,butterfly,cat,20230,squirrel,cat,0.000680563214700669,27,True
316,butterfly,cat,20230,squirrel,cat,0.0006786864250898361,28,True
316,butterfly,cat,20230,squirrel,cat,0.0006201834185048938,35,True
