test_idx,test_true,test_pred,train_idx,train_label,influence,rank
16,butterfly,spider,1257,butterfly,0.0023391246795654297,1
16,butterfly,spider,1257,butterfly,0.0021442852448672056,2
16,butterfly,spider,1257,butterfly,0.0018939555156975985,3
16,butterfly,spider,819,butterfly,0.001887970487587154,4
16,butterfly,spider,1257,butterfly,0.0017538402462378144,5
16,butterfly,spider,1257,butterfly,0.00159876374527812,6
16,butterfly,spider,819,butterfly,0.0015855360543355346,7
16,butterfly,spider,1400,butterfly,0.001411238918080926,8
16,butterfly,spider,1257,butterfly,0.001324573066085577,9
16,butterfly,spider,1257,butterfly,0.0012420420534908772,10
16,butterfly,spider,1400,butterfly,0.0010433618444949389,11
16,butterfly,spider,1257,butterfly,0.0009066503844223917,12
16,butterfly,spider,819,butterfly,0.000904831278603524,13
16,butterfly,spider,1269,butterfly,0.0008053082274273038,14
16,butterfly,spider,819,butterfly,0.000734619505237788,15
16,butterfly,spider,1372,butterfly,0.0007083439850248396,16
16,butterfly,spider,1400,butterfly,0.0006999500910751522,17
16,butterfly,spider,1400,butterfly,0.0006983411149121821,18
16,butterfly,spider,819,butterfly,0.0006881767185404897,19
16,butterfly,spider,1400,butterfly,0.000674222712405026,20
16,butterfly,spider,1502,butterfly,0.0006654910393990576,21
16,butterfly,spider,1400,butterfly,0.0006522373296320438,22
16,butterfly,spider,4232,chicken,0.0006135475123301148,23
16,butterfly,spider,1393,butterfly,0.000592515105381608,24
16,butterfly,spider,1629,butterfly,0.0005758227780461311,25
16,butterfly,spider,1629,butterfly,0.0005723751382902265,26
16,butterfly,spider,678,butterfly,0.0005634211120195687,27
16,butterfly,spider,824,butterfly,0.0005506474408321083,28
16,butterfly,spider,1418,butterfly,0.0005503538995981216,29
16,butterfly,spider,1269,butterfly,0.0005494573852047324,30
16,butterfly,spider,1377,butterfly,0.0005443014088086784,31
16,butterfly,spider,1393,butterfly,0.0005292895366437733,32
16,butterfly,spider,4232,chicken,0.000496861117426306,33
16,butterfly,spider,1502,butterfly,0.0004958334611728787,34
16,butterfly,spider,760,butterfly,0.0004921768559142947,35
16,butterfly,spider,885,butterfly,0.0004843408823944628,36
16,butterfly,spider,824,butterfly,0.00048034486826509237,37
16,butterfly,spider,4232,chicken,0.00045827392023056746,38
16,butterfly,spider,1261,butterfly,0.0004559814988169819,39
16,butterfly,spider,1502,butterfly,0.00044718352728523314,40
16,butterfly,spider,1285,butterfly,0.00043997904867865145,41
16,butterfly,spider,1145,butterfly,0.0004355718847364187,42
16,butterfly,spider,1393,butterfly,0.00043551763519644737,43
16,butterfly,spider,757,butterfly,0.0004320335865486413,44
16,butterfly,spider,757,butterfly,0.00043106943485327065,45
16,butterfly,spider,1312,butterfly,0.0004253990191500634,46
16,butterfly,spider,305,butterfly,0.0004233270010445267,47
16,butterfly,spider,753,butterfly,0.0004226331366226077,48
16,butterfly,spider,1502,butterfly,0.000419422285631299,49
16,butterfly,spider,1285,butterfly,0.00041887437691912055,50
16,butterfly,spider,4232,chicken,0.00041398851317353547,51
16,butterfly,spider,4232,chicken,0.0004098911886103451,52
16,butterfly,spider,1502,butterfly,0.0004067793779540807,53
16,butterfly,spider,1163,butterfly,0.0004023959918413311,54
16,butterfly,spider,1312,butterfly,0.0004011278215330094,55
16,butterfly,spider,305,butterfly,0.00039404776180163026,56
16,butterfly,spider,753,butterfly,0.0003894044493790716,57
16,butterfly,spider,1145,butterfly,0.0003892388485837728,58
16,butterfly,spider,40,butterfly,0.00038668481283821166,59
16,butterfly,spider,1393,butterfly,0.0003860082942992449,60
16,butterfly,spider,1113,butterfly,0.0003839422424789518,61
16,butterfly,spider,1285,butterfly,0.0003811671049334109,62
16,butterfly,spider,757,butterfly,0.0003785638837143779,63
16,butterfly,spider,819,butterfly,0.00037737199454568326,64
16,butterfly,spider,824,butterfly,0.0003741556138265878,65
16,butterfly,spider,1269,butterfly,0.00037235766649246216,66
16,butterfly,spider,1312,butterfly,0.00037052397965453565,67
16,butterfly,spider,1261,butterfly,0.0003696134954225272,68
16,butterfly,spider,1145,butterfly,0.00036829334567300975,69
16,butterfly,spider,1507,butterfly,0.00036624487256631255,70
16,butterfly,spider,678,butterfly,0.000366175634553656,71
16,butterfly,spider,1113,butterfly,0.00036505231400951743,72
16,butterfly,spider,885,butterfly,0.00036041354178451,73
16,butterfly,spider,824,butterfly,0.00035771599505096674,74
16,butterfly,spider,40,butterfly,0.0003563150530681014,75
16,butterfly,spider,463,butterfly,0.0003562730271369219,76
16,butterfly,spider,1359,butterfly,0.0003534694551490247,77
16,butterfly,spider,1502,butterfly,0.00035310155362822115,78
16,butterfly,spider,1145,butterfly,0.00035262657911516726,79
16,butterfly,spider,4232,chicken,0.0003494468692224473,80
16,butterfly,spider,4232,chicken,0.0003461576416157186,81
16,butterfly,spider,40,butterfly,0.0003453663957770914,82
16,butterfly,spider,1006,butterfly,0.0003444054163992405,83
16,butterfly,spider,1393,butterfly,0.0003426339535508305,84
16,butterfly,spider,1285,butterfly,0.000341752078384161,85
16,butterfly,spider,1480,butterfly,0.00034155056346207857,86
16,butterfly,spider,1261,butterfly,0.0003406562900636345,87
16,butterfly,spider,1330,butterfly,0.0003395130333956331,88
16,butterfly,spider,306,butterfly,0.0003394986561033875,89
16,butterfly,spider,1480,butterfly,0.000336474331561476,90
16,butterfly,spider,1372,butterfly,0.0003311636974103749,91
16,butterfly,spider,714,butterfly,0.00033009934122674167,92
16,butterfly,spider,1629,butterfly,0.000326039589708671,93
16,butterfly,spider,1163,butterfly,0.000319013895932585,94
16,butterfly,spider,1418,butterfly,0.00031414133263751864,95
16,butterfly,spider,40,butterfly,0.00031365733593702316,96
16,butterfly,spider,3,butterfly,0.0003128902753815055,97
16,butterfly,spider,306,butterfly,0.0003090166428592056,98
16,butterfly,spider,1006,butterfly,0.0003086045035161078,99
16,butterfly,spider,1285,butterfly,0.00030698583577759564,100
169,butterfly,spider,1257,butterfly,0.0016514839371666312,1
169,butterfly,spider,1257,butterfly,0.0014554363442584872,2
169,butterfly,spider,1257,butterfly,0.001353826024569571,3
169,butterfly,spider,819,butterfly,0.001319656614214182,4
169,butterfly,spider,1257,butterfly,0.0012996491277590394,5
169,butterfly,spider,1257,butterfly,0.0012415401870384812,6
169,butterfly,spider,1257,butterfly,0.001128772390075028,7
169,butterfly,spider,819,butterfly,0.0010520434007048607,8
169,butterfly,spider,1400,butterfly,0.0010379714658483863,9
169,butterfly,spider,1257,butterfly,0.0009738902444951236,10
169,butterfly,spider,1257,butterfly,0.0009644769597798586,11
169,butterfly,spider,1400,butterfly,0.0009152325801551342,12
169,butterfly,spider,1269,butterfly,0.0007787661161273718,13
169,butterfly,spider,1393,butterfly,0.0007061449578031898,14
169,butterfly,spider,1372,butterfly,0.000671876419801265,15
169,butterfly,spider,819,butterfly,0.0006488233921118081,16
169,butterfly,spider,1393,butterfly,0.0006408501649275422,17
169,butterfly,spider,1629,butterfly,0.0006119333556853235,18
